"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 17:14:59 GMT 2024","Mon Apr 22 17:15:00 GMT 2024","842","Surefire suite","Surefire test","tests.EndToEndTest","tests.EndToEndTest","e2eTest","e2eTest",""
"passed","Mon Apr 22 17:14:59 GMT 2024","Mon Apr 22 17:14:59 GMT 2024","4","Surefire suite","Surefire test","tests.AllureTest","tests.AllureTest","testName","failed test for screenshot",""
